ticker	label	date	open	high	low	close	volume	currency
FR0000121501	PEUGEOT	24/02/2020	18,495	18,565	17,535	17,805	8239176	EUR
FR0000121501	PEUGEOT	25/02/2020	17,970	18,020	17,315	17,685	5708836	EUR
FR0000121501	PEUGEOT	26/02/2020	18,000	19,060	17,515	18,525	9284631	EUR
FR0000121501	PEUGEOT	27/02/2020	18,110	18,435	17,740	18,175	7736842	EUR
FR0000121501	PEUGEOT	28/02/2020	17,500	17,805	17,155	17,505	8764962	EUR
FR0000121501	PEUGEOT	02/03/2020	17,810	17,905	16,405	16,755	7132059	EUR
FR0000121501	PEUGEOT	03/03/2020	17,195	17,590	16,905	16,925	7193379	EUR
FR0000121501	PEUGEOT	04/03/2020	17,080	17,280	16,800	17,105	5130071	EUR
FR0000121501	PEUGEOT	05/03/2020	17,370	17,370	16,640	16,690	5393728	EUR
FR0000121501	PEUGEOT	06/03/2020	16,375	16,375	15,865	16,150	8528917	EUR
FR0000121501	PEUGEOT	09/03/2020	14,750	14,840	14,310	14,310	11625979	EUR
FR0000121501	PEUGEOT	10/03/2020	14,740	15,100	13,835	13,895	10845169	EUR
FR0000121501	PEUGEOT	11/03/2020	14,385	14,665	13,970	14,095	6583175	EUR
FR0000121501	PEUGEOT	12/03/2020	13,000	13,560	11,405	11,555	12520335	EUR
FR0000121501	PEUGEOT	13/03/2020	12,080	13,445	11,655	11,890	11037209	EUR
FR0000121501	PEUGEOT	16/03/2020	11,455	11,455	9,756	11,035	10741035	EUR
FR0000121501	PEUGEOT	17/03/2020	11,660	12,090	10,000	11,000	9109737	EUR
FR0000121501	PEUGEOT	18/03/2020	11,075	11,380	9,560	9,560	8162818	EUR
FR0000121501	PEUGEOT	19/03/2020	9,702	10,475	8,878	10,035	7291106	EUR
FR0000121501	PEUGEOT	20/03/2020	10,740	11,310	10,040	11,310	9102442	EUR
FR0000121501	PEUGEOT	23/03/2020	10,760	11,165	10,310	10,820	6267002	EUR
FR0000121501	PEUGEOT	24/03/2020	11,620	11,970	11,135	11,970	5232007	EUR
FR0000121501	PEUGEOT	25/03/2020	12,800	13,330	11,700	12,300	4971511	EUR
FR0000121501	PEUGEOT	26/03/2020	11,900	12,605	11,720	12,590	3735430	EUR
FR0000121501	PEUGEOT	27/03/2020	12,275	12,425	11,805	12,065	3210921	EUR
FR0000121501	PEUGEOT	30/03/2020	12,005	12,170	11,500	11,770	2997480	EUR
FR0000121501	PEUGEOT	31/03/2020	12,005	12,250	11,810	12,165	5320835	EUR
FR0000121501	PEUGEOT	01/04/2020	12,000	12,030	11,330	11,375	3764313	EUR
FR0000121501	PEUGEOT	02/04/2020	11,445	12,015	11,330	11,860	3658486	EUR
FR0000121501	PEUGEOT	03/04/2020	11,950	12,150	11,760	11,815	2326822	EUR
FR0000121501	PEUGEOT	06/04/2020	12,690	13,275	12,405	12,875	4547569	EUR
FR0000121501	PEUGEOT	07/04/2020	13,440	14,235	13,440	13,640	5468533	EUR
FR0000121501	PEUGEOT	08/04/2020	13,545	13,840	13,115	13,330	3275623	EUR
FR0000121501	PEUGEOT	09/04/2020	13,845	13,890	12,945	13,415	3061192	EUR
FR0000121501	PEUGEOT	14/04/2020	13,820	13,860	12,340	12,630	4287864	EUR
FR0000121501	PEUGEOT	15/04/2020	12,630	12,720	11,750	11,750	3703205	EUR
FR0000121501	PEUGEOT	16/04/2020	11,795	12,170	11,200	11,295	4034393	EUR
FR0000121501	PEUGEOT	17/04/2020	11,820	11,855	11,385	11,700	5945454	EUR
FR0000121501	PEUGEOT	20/04/2020	11,870	11,945	11,500	11,665	3202777	EUR
FR0000121501	PEUGEOT	21/04/2020	11,595	12,120	11,360	11,695	3992454	EUR
FR0000121501	PEUGEOT	22/04/2020	11,940	12,535	11,805	12,380	3739466	EUR
FR0000121501	PEUGEOT	23/04/2020	12,520	12,755	12,310	12,400	2838545	EUR
FR0000121501	PEUGEOT	24/04/2020	12,045	12,710	12,010	12,385	2808265	EUR
FR0000121501	PEUGEOT	27/04/2020	12,900	12,940	12,435	12,590	2040355	EUR
FR0000121501	PEUGEOT	28/04/2020	12,650	13,175	12,420	13,000	2918786	EUR
FR0000121501	PEUGEOT	29/04/2020	13,140	13,760	12,745	13,680	3041181	EUR
FR0000121501	PEUGEOT	30/04/2020	13,860	14,080	12,950	13,075	3903586	EUR
FR0000121501	PEUGEOT	04/05/2020	12,850	12,935	12,405	12,570	3307976	EUR
FR0000124141	VEOLIA ENVIRONNEM	02/01/2020	23,860	24,070	23,820	23,930	1089208	EUR
FR0000124141	VEOLIA ENVIRONNEM	03/01/2020	23,750	24,050	23,660	24,050	1232236	EUR
FR0000124141	VEOLIA ENVIRONNEM	06/01/2020	23,950	23,990	23,710	23,910	1101497	EUR
FR0000124141	VEOLIA ENVIRONNEM	07/01/2020	23,940	24,050	23,680	23,700	1211661	EUR
FR0000124141	VEOLIA ENVIRONNEM	08/01/2020	23,670	23,710	23,230	23,580	1832155	EUR
FR0000124141	VEOLIA ENVIRONNEM	09/01/2020	23,650	23,820	23,590	23,760	1368171	EUR
FR0000124141	VEOLIA ENVIRONNEM	10/01/2020	24,000	24,460	23,980	24,350	2159958	EUR
FR0000124141	VEOLIA ENVIRONNEM	13/01/2020	24,500	24,500	24,270	24,380	1110834	EUR
FR0000124141	VEOLIA ENVIRONNEM	14/01/2020	24,500	24,810	24,240	24,780	1862054	EUR
FR0000124141	VEOLIA ENVIRONNEM	15/01/2020	24,800	25,140	24,560	25,140	1947862	EUR
FR0000124141	VEOLIA ENVIRONNEM	16/01/2020	25,170	25,370	24,960	25,370	1655627	EUR
FR0000124141	VEOLIA ENVIRONNEM	17/01/2020	25,470	25,730	25,390	25,650	1727950	EUR
FR0000124141	VEOLIA ENVIRONNEM	20/01/2020	25,730	25,900	25,530	25,900	938836	EUR
FR0000124141	VEOLIA ENVIRONNEM	21/01/2020	25,830	26,100	25,670	26,100	1871260	EUR
FR0000124141	VEOLIA ENVIRONNEM	22/01/2020	26,190	26,450	26,120	26,350	1851053	EUR
FR0000124141	VEOLIA ENVIRONNEM	23/01/2020	26,280	26,500	26,040	26,500	1835437	EUR
FR0000124141	VEOLIA ENVIRONNEM	24/01/2020	26,610	26,990	26,610	26,990	2264882	EUR
FR0000124141	VEOLIA ENVIRONNEM	27/01/2020	26,750	26,880	26,500	26,570	2355854	EUR
FR0000124141	VEOLIA ENVIRONNEM	28/01/2020	26,590	26,890	26,540	26,700	1769473	EUR
FR0000124141	VEOLIA ENVIRONNEM	29/01/2020	26,610	26,840	26,600	26,780	1527981	EUR
FR0000124141	VEOLIA ENVIRONNEM	30/01/2020	26,600	26,820	26,480	26,560	2148577	EUR
FR0000124141	VEOLIA ENVIRONNEM	31/01/2020	26,670	26,810	26,520	26,680	2094248	EUR
FR0000124141	VEOLIA ENVIRONNEM	03/02/2020	26,670	26,860	26,610	26,670	1614328	EUR
FR0000124141	VEOLIA ENVIRONNEM	04/02/2020	26,870	26,900	26,470	26,690	1601828	EUR
FR0000124141	VEOLIA ENVIRONNEM	05/02/2020	26,650	26,880	26,450	26,820	2150923	EUR
